ATF	1.0
32	41    
"Type=GenePix Export 3"
"DateTime=2023/05/30 14:50:00"
"Settings=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\Settings slide #1 F532.gps"
"GalFile=R:\Para-ClinicalTrial\Emma Houlder\Lab files\D&A\ReCHISVac (R)\Arrays (A)\R_A_003 full array\2023.05.30\GAL file Schistosoma glycan_protein array May 2023.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\US23502317_1003449801_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2860, 1690"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier=BioRobotics"
"ArrayerSoftwareName=TAS Application Suite (MicroGrid II)"
"ArrayerSoftwareVersion=2.4.0.3"
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"F532 Total Intensity"	"SNR 532"	"F532 CV"	"B532 CV"	"Index"
1	10	5	"protein 37"	"221"	5260	2860	100	886	891	287	1499	1495	1499	99	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-613	-608	Error	-613	-608	71270	-6.101	32	6	58
1	11	5	"protein 37"	"221"	5510	2860	100	875	926	294	1490	1489	1490	93	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-615	-564	Error	-615	-564	74060	-6.054	31	6	59
1	12	5	"protein 37"	"221"	5750	2860	100	865	921	329	1495	1493	1495	92	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-630	-574	Error	-630	-574	73706	-6.217	35	6	60
1	1	6	"protein 126"	"193"	3060	3110	100	1063	1139	734	1456	1224	1456	1373	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-100	0	0	-393	-317	Error	-393	-317	91099	-0.062	64	112	61
1	2	6	"protein 126"	"193"	3310	3110	60	1155	1315	616	1394	1391	1394	103	38	31	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	-239	-79	Error	-239	-79	42086	-0.738	46	7	62
1	3	6	"protein 126"	"193"	3550	3110	60	833	951	343	1294	1291	1294	119	16	9	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	-461	-343	Error	-461	-343	30425	-2.857	36	9	63
1	4	6	"protein 18"	"197"	3790	3110	100	396	459	190	1292	1293	1292	82	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-896	-833	Error	-896	-833	36758	-10.171	41	6	64
1	5	6	"protein 18"	"197"	4040	3110	100	375	436	186	1384	1386	1384	90	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-1009	-948	Error	-1009	-948	34866	-10.556	42	6	65
1	6	6	"protein 18"	"197"	4280	3110	100	427	447	186	1421	1424	1421	89	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-994	-974	Error	-994	-974	35758	-10.978	41	6	66
1	7	6	"protein 77"	"201"	4530	3110	80	2011	2066	467	1448	1454	1448	89	87	85	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	340	100	0	0	0	563	618	Error	563	618	107455	6.876	22	6	67
